Title,Year,Director,Country,ASL
"Ennemi publique N.1, l' ",2008,"Richet, Jean Francois ",,2.83
"Love Guru, The ",2008,"Schnabel, Marco ",,2.83
Die Hard 2: Die Harder ,1990,"Harlin, Renny ",USA ,2.84
Equilibrium ,2002,"Wimmer, Kurt ",USA ,2.84
S Club: Seeing Double ,2003,"Dick, Nigel ",,2.84
Charlie and the Chocolate Factory ,2005,"Burton, Tim ",,2.84
Danny the Dog ,2005,"Leterrier, Louis ",,2.84
"Legend of Zorro, The ",2005,"Campbell, Martin ",USA ,2.84
Shadow Man ,2006,"Keusch, Michael ",,2.84
"Warlords, The ",2008,"Chan, Peter Ho Sun ",HKO ,2.84
Zookeeper ,2011,"Coraci, Frank ",USA ,2.84
"Crazies, The ",1973,"Romero, George A. ",USA ,2.85
For Your Eyes Only ,1981,"Glen, John ",BRI ,2.85
Dark Angel ,1990,"Baxley, Craig R. ",USA ,2.85
Requiem for a Dream ,2000,"Aronofsky, Darren ",USA ,2.85
Pirates of the Caribbean: The Curse of the ,2003,"Verbinski, Gore ",USA ,2.85
Couples Retreat ,2009,"Billingsley, Peter ",USA ,2.85
Rumble in the Bronx ,1996,"Tong, Stanley ",USA ,2.86
Head Over Heels ,2000,"Waters, Mark S. ",USA ,2.86
"Musketeer, The ",2001,"Hyams, Peter ",,2.86
Blackball ,2003,"Smith, Mel ",BRI ,2.86
Good Boy! ,2003,"Hoffman, John ",USA ,2.86
Night Watch ,2004,"Bekmanbetov, Timur ",RUS ,2.86
Goal! ,2005,"Cannon, Danny ",BRI ,2.86
Invincible ,2006,"Core, Ericson ",USA ,2.86
AVPR: Aliens vs. Predator Requiem ,2007,"Strause, The Brothers ",USA ,2.86
Four Christmases ,2008,"Gordon, Seth ",,2.86
Sinbad and the Eye of the Tiger ,1977,"Wanamaker, Sam ",USA ,2.87
Air Bud: World Pup ,2000,"Bannerman, Bill ",,2.87
Big Fat Liar ,2002,"Levy, Shawn ",USA ,2.87
Agent Cody Banks ,2003,"Zwart, Harold ",USA ,2.87
"Business, The ",2005,"Love, Nick ",BRI ,2.87
"Honeymooners, The ",2005,"Schultz, John ",,2.87
Starship Troopers 3: Marauder ,2008,"Neumeier, Michael ",,2.87
Universal Soldier ,1992,"Emmerich, Roland ",USA ,2.88
My Boss's Daughter ,2003,"Zucker, David ",USA ,2.88
Sky Captain and the World of Tomorrow ,2004,"Conran, Kerry ",USA ,2.88
"Devil's Rejects, The ",2005,"Zombie, Rob ",USA ,2.88
Big Momma's House 2 ,2006,"Whitesell, John ",USA ,2.88
Are We Done Yet? ,2007,"Carr, Steve ",USA ,2.88
Fool's Gold ,2008,"Tennant, Andy ",USA ,2.88
"Country Bears, The ",2002,"Hastings, Peter ",USA ,2.89
"Italian Job, The ",2003,"Gray, F. Gary ",USA ,2.89
Underclassman ,2004,"Siega, Marcos ",USA ,2.89
Akeelah and the Bee ,2006,"Atchinson, Doug ",USA ,2.89
Australia ,2008,"Luhrmann, Baz ",,2.89
Marmaduke ,2010,"Dey, Tom ",USA ,2.89
Hobo With a Shotgun ,2011,"Eisener, Jason ",CAN ,2.89
Cross of Iron ,1977,"Peckinpah, Sam ",,2.9
Death Wish 3 ,1985,"Winner, Michael ",USA ,2.9
Meet the Feebles ,1989,"Jackson, Peter ",NZ ,2.9
"Punisher, The ",1989,"Goldblatt, Mark ",,2.9
3 Ninjas ,1992,"Turtletaub, Jon ",USA ,2.9
Rookie of the Year ,1993,"Stern, Daniel ",USA ,2.9
"Visiteurs, les ",1993,"Poir�, Jean-Marie ",FRA ,2.9
Clean Slate ,1994,"Jackson, Mick ",USA ,2.9
Three Ninjas Kick Back ,1994,"Kanganis, Charles T. ",,2.9
Zero Tolerance ,1994,"Merhi, Joseph ",USA ,2.9
Fluke ,1995,"Carlei, Carlo ",USA ,2.9
Mighty Morphin Power Rangers: The Movie ,1995,"Spicer, Bryan ",USA ,2.9
Virtuosity ,1995,"Leonard, Brett ",USA ,2.9
Adrenalin: Feel the Rush ,1996,"Pyun, Albert ",USA ,2.9
Broken Arrow ,1996,"Woo, John ",USA ,2.9
Eraser ,1996,"Russell, Charles ",USA ,2.9
Hollow Point ,1996,"Furie, Sidney J. ",USA ,2.9
Air Bud ,1997,"Smith, Charles Martin ",USA ,2.9
"Cinqui?me el�ment, le ",1997,"Besson, Luc ",FRA ,2.9
Double Team ,1997,"Hark, Tsui ",USA ,2.9
Hard Rain ,1997,"Salomon, Mikael ",,2.9
Speed 2: Cruise Control ,1997,"De Bont, Jan ",USA ,2.9
Suicide Kings ,1997,"O'Fallon, Peter ",USA ,2.9
"Faculty, The ",1998,"Rodriguez, Roberto ",USA ,2.9
Firestorm ,1998,"Semler, Dean ",USA ,2.9
"Negotiator, The ",1998,"Gray, F. Gary ",,2.9
Any Given Sunday ,1999,"Stone, Oliver ",USA ,2.9
Fortress 2: Re-entry ,1999,"Murphy, Geoff ",USA ,2.9
House on Haunted Hill ,1999,"Malone, William ",USA ,2.9
Terror Firmer ,1999,"Kaufman, Lloyd ",USA ,2.9
"World is Not Enough, The ",1999,"Apted, Michael ",,2.9
Charlie's Angels ,2000,McG (Joseph McGinty Nicho ,,2.9
Durango Kids ,2000,"Root, Ashton ",USA ,2.9
"Flintstones in Viva Rock Vegas, The ",2000,"Levant, Brian ",USA ,2.9
"Little Vampire, The ",2000,"Edel, Uli ",,2.9
Nutty Professor 2: The Klumps ,2000,"Segal, Peter ",USA ,2.9
Proof of Life ,2000,"Hackford, Taylor ",,2.9
"Animal, The ",2001,"Greenfield, Luke ",USA ,2.9
Behind Enemy Lines ,2001,"Moore, John ",USA ,2.9
Collateral Damage ,2001,"Davis, Andrew ",USA ,2.9
Corky Romano ,2001,"Pritts, Rob ",USA ,2.9
Dark Descent ,2001,"Knauf, Daniel (Schmidt, W ",,2.9
One Night at McCools ,2001,Zwart. Harold ,USA ,2.9
Ticker ,2001,"Pyun, Albert ",,2.9
Mr. Deeds ,2002,"Brill, Steven ",USA ,2.9
"Saddest Music in the World, The ",2003,"Maddin, Guy ",CAN ,2.9
What a Girl Wants ,2003,"Gordon, Dennie ",USA ,2.9
Cinderella Man ,2005,"Howard, Ron ",USA ,2.9
Just Friends ,2005,"Kumble, Roger ",USA ,2.9
Date Movie ,2006,"Seltzer, Aaron ",USA ,2.9
Blades of Glory ,2007,"Gordon, John & Speck, Will ",USA ,2.9
Walk Hard: The Dewey Cox Story ,2007,"Kasdan, Jake ",USA ,2.9
"Boat That Rocked, The ",2009,"Curtis, Richard ",,2.9
Bad Teacher ,2011,"Kasdan, Jake ",USA ,2.9
"Green Hornet, The ",2011,"Gondry, Michel ",USA ,2.9
Heartbreak Ridge ,1986,"Eastwood, Clint ",USA ,2.91
Matilda ,1996,"De Vito, Danny ",USA ,2.91
You May Not Kiss the Bride ,2011,"Hedden, Rob ",USA ,2.91
Contraband ,2012,"Korakur, Baltasar ",USA ,2.91
Tango & Cash ,1989,"Konchalovsky, Andrej ",USA ,2.92
Like Mike ,2002,"Schultz, John ",USA ,2.92
9-Rota ,2005,"Bondarchuk, Fyodor ",RUS ,2.92
"Chronicles of Narnia: Prince Caspian, The ",2008,"Adamson, Andrew ",,2.92
Anita & Me ,2002,"H�seyin, Metin ",BRI ,2.93
Halloween: Resurrection ,2002,"Rosenthal, Rick ",USA ,2.93
Slumdog Millionaire ,2008,"Boyle, D. & Tandan, L. ",BRI ,2.93
Zombieland ,2009,"Fleischer, Ruben ",USA ,2.93
Primal ,2010,"Reed, Josh ",AUS ,2.93
Radioland Murders ,1994,"Smith, Mel ",USA ,2.94
Desert Thunder ,1998,"Wynorski, Jim ",USA ,2.94
"Hitchhiker II: I've Been Waiting, The ",2003,"Morneau, Louis ",USA ,2.94
Wrong Turn ,2003,"Schmidt, Rob ",,2.94
Kingdom of Heaven ,2005,"Scott, Ridley ",,2.94
Eragon ,2006,"Fangmeier, Stefen ",,2.94
Run Fatboy Run ,2007,"Schwimmer, David ",BRI ,2.94
"Incredible Hulk, The ",2008,"Leterrier, Louis ",USA ,2.94
Baby's Day Out ,1994,"Johnson, Patrick Read ",USA ,2.95
Bridge to Terabithia ,2006,"Csupo, Gabor ",,2.95
Talladega Nights ,2006,"McKay, Adam ",USA ,2.95
Harold & Kumar Escape from Guantanamo Bay ,2008,"Hurwitz, J. & Schlossberg, H. ",USA ,2.95
Around the World in 80 Days ,2004,"Coraci, Frank ",,2.96
White Chicks ,2004,"Wayans, Keenan Ivory ",USA ,2.96
Today You Die ,2005,"FauntLeRoy, Don E. ",USA ,2.96
Tristan + Isolde ,2005,"Reynolds, Kevin ",,2.96
V for Vendetta ,2005,"McTeigue, John ",,2.96
Evan Almighty ,2007,"Shadyac, Tom ",USA ,2.96
Transformers ,2007,"Bay, Michael ",USA ,2.96
Gulliver's Travels ,2010,"Letterman, Rob ",USA ,2.96
Lara Croft Tomb Raider: The Cradle of Life ,2003,"De Bont, Jan ",USA ,2.97
Boogeyman ,2005,"Kay, Stephen T. ",USA ,2.97
Alice in Wonderland ,2010,"Burton, Tim ",USA ,2.97
Trespass ,2011,"Schumacher, Joel ",,2.97
"Punisher, The ",2004,"Hensleigh, Jonathan ",USA ,2.98
Scooby-Doo 2:Monsters Unleashed ,2004,"Gosnell, Raja ",USA ,2.98
Team America: World Police ,2004,"Parker, Trey ",USA ,2.98
August Rush ,2007,"Sheridan, Kirsten ",USA ,2.98
Role Models ,2008,"Wain, David ",,2.98
"Spy Next Door, The ",2009,"Levant, Brian ",USA ,2.98
"Reef, The ",2010,"Traucki, Andrew ",AUS ,2.98
Robin Hood ,2010,"Scott, Ridley ",,2.98
Pirates of the Caribean: On Stranger Tides ,2011,"Marshall, Bob ",USA ,2.98
Police Academy: Mission to Moscow ,1994,"Metter, Alan ",USA ,2.99
Honey ,2003,"Woodruff, Bille ",USA ,2.99
"Great Raid, The ",2005,"Dahl, John ",USA ,2.99
"Chaser, The ",2008,Na Hong-Jin ,KOR ,2.99
Surrogates ,2009,"Mostow, Jonathan ",USA ,2.99
"Karate Kid, The ",2010,"Zwart, Harald ",,2.99
Wake Wood ,2010,"Keating, David ",,2.99
Bronenosets Potyomkin ,1925,"Eisenstein, Sergei ",RUS ,3
Stella Dallas ,1925,"King, Henry ",USA ,3
Oktyabr ,1928,"Eisenstein, S. ",RUS ,3
Big Trouble in Little China ,1986,"Carpenter, John ",USA ,3
Run ,1991,"Burrowes, Geoff ",USA ,3
D3: The Mighty Ducks ,1996,"Lieberman, Robert ",USA ,3
Fled ,1996,"Hooks, Kevin ",USA ,3
"Ghost and the Darkness, The ",1996,"Hopkins, Stephen ",USA ,3
"Long Kiss Goodnight, The ",1996,"Harlin, Renny ",USA ,3
"Quest, The ",1996,"Damme, Jean-Claude Van ",USA ,3
White Tiger ,1996,"Martin, Richard ",,3
Steel ,1997,"Johnson, Kenneth ",USA ,3
"Truth or Consequences, NM ",1997,"Sutherland, Kiefer ",USA ,3
3 Ninjas: High Noon at Mega Mountain ,1998,"McNamara, Sean ",,3
Legionnaire ,1998,"MacDonald, Peter ",USA ,3
"Replacement Killers, The ",1998,"Fuqua, Antoine ",USA ,3
Virus ,1998,"Bruno, John ",USA ,3
Austin Powers: The Spy Who Shagged Me ,1999,"Roach, Jay ",USA ,3
Shadow Warriors II: Assault on Death Mount ,1999,"Cassar, John ",USA ,3
Shark Attack ,1999,"Misiorowski, Bob ",USA ,3
"Art of War, The ",2000,"Duguay, Christian ",,3
Big Momma's House ,2000,"Gosnell, Raja ",,3
Guardian ,2000,"Terlesky, John ",USA ,3
"51st. State, The ",2001,"Yu, Ronny ",,3
Max Keeble's Big Move ,2001,"Hill, Tim ",USA ,3
Belly of the Beast ,2003,"Siu-Tung, Tony Ching ",,3
Tooth ,2003,"Nammour, Edouard ",BRI ,3
"Pacifier, The ",2005,"Shankman, Adam ",USA ,3
Perfect Creature ,2005,"Standring, Glenn ",,3
It's a Boy/Girl Thing ,2006,"Hurran, Nick ",,3
"Art of War II: Betrayal, The ",2008,"Rusnak, Josef ",CAN ,3
2012,2009,"Emmerich, Roland ",USA ,3
"Wild Bunch, The ",1969,"Peckinpah, Sam ",USA ,3.01
National Security ,2002,"Dugan, Dennis ",USA ,3.01
Duplex ,2003,"De Vito, Danny ",USA ,3.01
Broken Lizard's Club Dread ,2004,"Chandrasekhar, Jay ",USA ,3.01
"Invisible, The ",2007,"Goyer, David S. ",USA ,3.01
Semi-Pro ,2008,"Alterman, Kent ",USA ,3.01
Baaria ,2009,"Tornatore, Giuseppe ",,3.01
Friday the 13th. ,2009,"Nispel, Marcus ",USA ,3.01
Get Him To the Greek ,2010,"Stoller, Nicholas ",USA ,3.01
Hudson Hawk ,1991,"Lehmann, Michael ",USA ,3.02
Homeward Bound II: Lost in San Fancisco ,1996,"Ellis, David R. ",USA ,3.02
Dudley Do-Right ,1999,"Wilson, Hugh ",USA ,3.02
"Santa Clause 2, The ",2002,"Lembeck, Michael ",USA ,3.02
"Bounty Hunter, The ",2010,"Tennant, Andy ",USA ,3.02
Killers ,2010,"Luketic, Robert ",USA ,3.02
Arme Riddere ,2011,"Martens, Magnus ",NOR ,3.02
Kung Pow: Enter the Fist ,2001,"Oederkerk, Steve ",USA ,3.03
"Matrix Reloaded, The ",2002,"Wachowski, L. & A. ",,3.03
National Lampoon's Van Wilder ,2002,"Becker, Walt ",USA ,3.03
"Actors, The ",2003,"McPherson, Conor ",,3.03
Anger Management ,2003,"Segal, Peter ",USA ,3.03
Assault on Precinct 13 ,2005,"Richet, Jean-Francois ",,3.03
Conspiracy ,2008,"Marcus, Adam ",USA ,3.03
Easy A ,2010,"Gluck, Will ",USA ,3.03
Albatross ,2011,"McCormick, Nial ",BRI ,3.03
"Double, The ",2011,"Brandt, Michael ",USA ,3.03
Cypher ,2002,"Natali, Vincenzo ",USA ,3.04
Christmas with the Kranks ,2004,"Roth, Joe ",USA ,3.04
Soccer Dog - European Cup ,2004,"Tung, Sandy ",USA ,3.04
Hotel for Dogs ,2008,"Freudenthal, Thor ",GER ,3.04
"Hurt Locker, The ",2008,"Bigelow, Kathryn ",USA ,3.04
Lesbian Vampire Killers ,2008,"Claydon, Phil ",BRI ,3.04
Love Exposure ,2008,Sono Sion ,JAP ,3.04
Our Family Wedding ,2010,"Famuyiwa, Rick ",USA ,3.04
Naked Gun 33 1/3: The Final Insult ,1994,"Segal, Peter ",USA ,3.05
Derailed ,2005,"Hafstrom, Mikael ",USA ,3.05
Shrooms ,2006,"Breathnach, Paddy ",,3.05
Wild Target ,2009,"Lynn, Jonathan ",,3.05
In Time ,2011,"Nicoll, Andrew ",USA ,3.05
Marvel Avengers Assemble ,2012,"Whedon, Joss ",USA ,3.05
Police Story ,1985,"Chan, Jackie ",HKO ,3.06
Dead Bodies ,2003,"Quinn, Robert ",IRE ,3.06
Freddy vs Jason ,2003,"Yu, Ronny ",USA ,3.06
Out of Reach ,2004,"Leong, Po-chieh ",,3.06
"Reaping, The ",2006,"Hopkins, Stephen ",,3.06
X Men - The Last Stand ,2006,"Ratner, Brett ",USA ,3.06
Mr. Woodcock ,2007,"Gillespie, Craig ",USA ,3.06
Prom Night ,2008,"McCormick, Nelson ",,3.06
"Disappearance of Alice Creek, The ",2009,"Blakeson, J. ",BRI ,3.06
"Chronicles of Narnia: The Voyage of the Dawn Treader, The ",2010,"Apted, Michael ",USA ,3.06
Immortals ,2011,"Singh, Tarsem ",USA ,3.06
On Her Majesty's Secret Service ,1969,"Hunt, Peter ",BRI ,3.07
"Terminator, The ",1984,"Cameron, James ",USA ,3.07
"Adventures of Pluto Nash, The ",2001,"Underwood, Ron ",USA ,3.07
"I, Robot ",2004,"Proyas, Alex ",,3.07
Van Helsing ,2004,"Sommers, Stephen ",USA ,3.07
"Final Destination, The ",2009,"Ellis, David R. ",USA ,3.07
Terminator: Salvation ,2009,McG ,,3.07
Blue Streak ,1999,"Mayfield, Les ",,3.08
"Dirty Shame, A ",2004,"Waters, John ",USA ,3.08
High School Musical ,2006,"Ortega, Kenny ",USA ,3.08
Paul ,2010,"Mottola, Greg ",USA ,3.08
RoboCop 3 ,1993,"Dekker, Fred ",USA ,3.09
"Wind in the Willows, The ",1996,"Jones, Terry ",BRI ,3.09
All the Queen's Men ,2001,"Ruzowitsky, Stefan ",,3.09
Star Trek: Nemesis ,2002,"Baird, Stuart ",USA ,3.09
Breakin' All the Rules ,2004,"Taplitz, Daniel ",USA ,3.09
Man of the House ,2005,"Herek, Stephen ",USA ,3.09
Hannibal Rising ,2006,"Webber, Peter ",,3.09
Sunshine ,2007,"Boyle, Danny ",BRI ,3.09
Confessions ,2010,Nakashima Tetsuya ,JAP ,3.09
Your Highness ,2010,"Green, David Gordon ",USA ,3.09
5 Days of War ,2011,"Harlin, Renny ",,3.09
Wanderlust ,2011,"Wain, David ",USA ,3.09
Lock Up ,1989,"Flynn, John ",USA ,3.1
Days of Thunder ,1990,"Scott, Tony ",USA ,3.1
Braindead ,1992,"Jackson, Peter ",NZ ,3.1
Warlock: The Armageddon ,1993,"Hickox, Anthony ",USA ,3.1
"Jungle Book, The ",1994,"Sommers, Stephen ",USA ,3.1
Ammoru ,1995,"Krishna, Kodi Rama ",IND ,3.1
Braveheart ,1995,"Gibson, Mel ",USA ,3.1
"Enforcer, The ",1995,"Yuen, Corey ",HKO ,3.1
Goldeneye ,1995,"Campbell, Martin ",BRI ,3.1
Mortal Kombat ,1995,"Anderson, Paul W.S. ",USA ,3.1
Top Dog ,1995,"Norris, Aaron ",USA ,3.1
Danger Zone ,1996,"Eastman, Allen ",USA ,3.1
Dunston Checks In ,1996,"Kwapis, Ken ",USA ,3.1
Anaconda ,1997,"Llosa, Luis ",,3.1
G.I. Jane ,1997,"Scott, Ridley ",,3.1
Mr. Magoo ,1997,"Tong, Stanley ",USA ,3.1
"Simple Wish, A ",1997,"Ritchie, Michael ",USA ,3.1
Turbo: A Power Rangers Movie ,1997,"Winning, David & Levy, S. ",USA ,3.1
BASEketball ,1998,"Zucker, David ",USA ,3.1
Casper Meets Wendy ,1998,"McNamara, Sean ",USA ,3.1
Jack Frost ,1998,"Miller, Troy ",USA ,3.1
Urban Legend ,1998,"Blanks, Jamie ",USA ,3.1
"Duke, The ",1999,"Spink, Philip ",,3.1
"General's Daughter, The ",1999,"West, Simon ",USA ,3.1
Judgement Day ,1999,"Terlesky, John ",USA ,3.1
K-911 ,1999,"Kanganis, Charles T. ",USA ,3.1
"Matrix, The ",1999,"Wachowski, Larry & Andy ",USA ,3.1
"Ghost, The ",2000,"Jackson, Douglas ",USA ,3.1
Militia ,2000,"Wynorski, Jim ",USA ,3.1
Sacrifice ,2000,Lester. Mark L. ,USA ,3.1
Tokyo Raiders ,2000,Ma Jingle ,HKO ,3.1
Asterix and Obelix: Mission Cleopatra ,2001,"Chabat, Alain ",,3.1
Black Knight ,2001,"Junger, Gil ",USA ,3.1
How High ,2001,"Dylan, Jesse ",USA ,3.1
Windtalkers ,2001,"Woo, John ",USA ,3.1
Holes ,2003,"Davis, Andrew ",USA ,3.1
Hard Luck ,2006,"Van Peebles, Mario ",USA ,3.1
Outlaw ,2006,"Love, Nick ",BRI ,3.1
Br�no ,2009,"Charles, Larry ",USA ,3.1
"Big Momma's: Like Father, Like Son ",2011,"Whitesell, John ",USA ,3.1
Abraham Lincoln: Vampire Hunter ,2012,"Bekmambetov, Timur ",,3.1
Legend ,1985,"Scott, Ridley ",BRI ,3.11
Scrooged ,1988,"Donner, Richard ",USA ,3.11
Nirvana ,1996,"Salvatores, Gabriele ",ITA ,3.11
"Ballistic: Ecks vs, Sever ",2002,Kaos ,USA ,3.11
Below ,2002,"Twohy, David ",USA ,3.11
Shanghai Knights ,2002,"Dobkin, David ",USA ,3.11
Deck the Halls ,2006,"Whitesell, John ",USA ,3.11
Babylon A.D. ,2008,"Kassowitz, Matthieu ",,3.11
"Guetteur, le ",2012,"Placido, Michele ",,3.11
Firehouse Dog ,2006,"Holland, Todd ",,3.12
"Dark Knight, The ",2008,"Nolan, Christopher ",,3.12
"Instinct de mort, l' ",2008,"Richet, Jean-Francois ",,3.12
St. Trinians 2: The Legend of Fritton's Gold ,2009,"Parker, Oliver & Thompson, Barnaby ",BRI ,3.12
Kickboxer ,1989,"DiSalle, Mark & Worth, D. ",USA ,3.13
Terminator 2: Judgement Day ,1991,"Cameron, James ",USA ,3.13
Saints and Soldiers ,2003,"Little, Ryan ",USA ,3.13
"Jacket, The ",2005,"Maybury, John ",,3.13
Mamma Mia! ,2008,"Lloyd, Phyllida ",,3.13
Star Trek ,2009,"Abrams, J.J. ",,3.13
Knight and Day ,2010,"Mangold, James ",USA ,3.13
Stargate ,1994,"Emmerich, Roland ",USA ,3.14
"Matrix Revolutions, The ",2003,"Wachowski, Larry & Andy ",,3.14
2001 Maniacs ,2005,"Sullivan, Tim ",USA ,3.14
Dirty ,2005,"Fisher, Chris ",USA ,3.14
Just My Luck ,2006,"Petrie, Donald ",USA ,3.14
Dickie Roberts: Former Child Star ,2003,"Weisman, Sam ",USA ,3.15
"In-Laws, The ",2003,"Fleming, Andrew ",USA ,3.15
Flight of the Phoenix ,2004,"Moore, John ",USA ,3.15
Miracle ,2004,"O'Connor, Gavin ",USA ,3.15
"American Haunting, An ",2005,"Solomon, Courtney ",,3.15
Stay ,2005,"Forster, Marc ",USA ,3.15
Valkyrie ,2008,"Singer, Bryan ",USA ,3.15
"Cold Light of Day, The ",2012,"El Mechri, Mabrouk ",,3.15
Serial Mom ,1994,"Waters, John ",USA ,3.16
Antitrust ,2001,"Howitt, Peter ",USA ,3.16
Final Destination 2 ,2002,"Ellis, David R. ",USA ,3.16
Drillbit Taylor ,2007,"Brill, Steven ",USA ,3.16
"Escapist, The ",2007,"Wyatt, Rupert ",BRI ,3.16
17 Again ,2009,"Steers, Burr ",USA ,3.16
Men in Black 3 ,2012,"Sonnenfeld, Barry ",USA ,3.16
"Cutting Edge, The ",1992,"Glaser, Paul M. ",USA ,3.17
Homeward Bound: The Incredible Journey ,1993,"Dunham, Duwayne ",USA ,3.17
Big Nothing ,2006,"Andrea, Jean-Baptiste ",BRI ,3.17
Paradise Lost ,2006,"Stockwell, John ",USA ,3.17
I Now Pronounce You Chuck and Larry ,2007,"Dugan, Dennis ",USA ,3.17
Pride ,2007,"Gonera, Sunu ",,3.17
Step Brothers ,2008,"McKay, Adam ",USA ,3.17
"Aventures Extraordinaires de Ad?le Balnc-Sec, les ",2010,"Besson, Luc ",FRA ,3.17
Fletch Lives ,1989,"Ritchie, Michael ",USA ,3.18
Men of War ,1994,"Lang, Perry ",,3.18
"Guy Thing, A ",2002,"Koch, Chris ",USA ,3.18
Dumb and Dumberer: When Harry Met Lloyd ,2003,"Miller, Troy ",USA ,3.18
Peter Pan ,2003,"Hogan, P.J. ",,3.18
Racing Stripes ,2004,"Du Chau, Frederik ",,3.18
Employee of the Month ,2006,"Coolidge, Greg ",USA ,3.18
Superman Returns ,2006,"Singer, Bryan ",USA ,3.18
Entre les murs ,2008,"Cantet, Laurent ",FRA ,3.18
Night at the Museum 2: The Battle of the Smithsonian ,2009,"Levy, Shawn ",,3.18
"Debt, The ",2010,"Madden, John ",,3.18
Bugsy Malone ,1976,"Parker, Alan ",BRI ,3.19
"New Guy, The ",2002,"Decter, Ed ",USA ,3.19
Eurotrip ,2004,"Schaffer, Jeff ",USA ,3.19
Garfield: A Tale of Two Kitties ,2006,"Hill, Tim ",USA ,3.19
Idlewild ,2006,"Barber, Bryan ",USA ,3.19
Pirates of the Caribbean: Dead Man's Chest ,2006,"Verbinski, Gore ",USA ,3.19
Poseidon ,2006,"Petersen, Wolfgang ",USA ,3.19
Ramona and Beezus ,2010,"Allen, Elizabeth ",USA ,3.19
Drug war ,2012,"To, Johnnie ",CHI ,3.19
Cesta k Barikadam ,1946,"Vavra, Otakar ",CZE ,3.2
Star Wars ,1977,"Lucas, George ",USA ,3.2
Galaxy of Terror ,1981,"Clark, B. D. ",USA ,3.2
Adventures in Babysitting ,1987,"Columbus, Chris ",USA ,3.2
Braddock: Missing Action III ,1988,"Norris, Aaron ",USA ,3.2
Death Train ,1992,"Jackson, David S. ",,3.2
Interceptor ,1992,"Cohn, Michael ",USA ,3.2
Back in Action ,1993,"DiMarco, Steve ",,3.2
"Skateboard Kid, The ",1993,"Swerdlove, Larry ",USA ,3.2
Blank Cheque ,1994,"Wainright, Rupert ",USA ,3.2
Little Giants ,1994,"Dunham, D. & Levant, B. ",USA ,3.2
Yankee Zulu ,1994,"Hofmeyr, Gray ",SAF ,3.2
Waterworld ,1995,"Reynolds, Kevin ",USA ,3.2
Black Sheep ,1996,"Spheeris, Penelope ",USA ,3.2
Chain Reaction ,1996,"Davis, Andrew ",USA ,3.2
"Frighteners, The ",1996,"Jackson, Peter ",,3.2
Maximum Risk ,1996,"Lam, Ringo ",USA ,3.2
Fire Down Below ,1997,"Alcala, Felix Enriquez ",USA ,3.2
Prince Valiant ,1997,"Hickox, Anthony ",,3.2
Space Jam ,1997,"Pytka, Joe ",USA ,3.2
U Turn ,1997,"Stone, Oliver ",USA ,3.2
American History X ,1998,"Kaye, Tony ",USA ,3.2
Disturbing Behavior ,1998,"Nutter, David ",USA ,3.2
Mighty Joe Young ,1998,"Underwood, Ron ",USA ,3.2
Rush Hour ,1998,"Ratner, Brett ",USA ,3.2
Very Bad Things ,1998,"Berg, Peter ",USA ,3.2
Blowback ,1999,"Lester, Mark L. ",USA ,3.2
Doomsday Man ,1999,"Greenblatt, William R. ",USA ,3.2
Fight Club ,1999,"Fincher, David ",USA ,3.2
G:mt - Greenwich Mean Time ,1999,"Strickland, John ",BRI ,3.2
Wild Wild West ,1999,"Sonnenfeld, Barry ",USA ,3.2
102 Dalmatians ,2000,"Lima, Kevin ",USA ,3.2
Bring It On ,2000,"Reed, Peyton ",USA ,3.2
Frozen With Fear ,2000,"Lynch, Paul ",CAN ,3.2
Memento ,2000,"Nolan, Christopher ",USA ,3.2
Men of Honor ,2000,"Tillman, Jr., George ",USA ,3.2
"Proposal, The ",2000,"Gale, Richard ",USA ,3.2
Shanghai Noon ,2000,"Dey, Tom ",USA ,3.2
Dog Soldiers ,2001,"Marshall, Neill ",,3.2
Hero ,2002,Zhang Yimou ,CHI ,3.2
Spider-Man ,2002,"Raimi, Sam ",USA ,3.2
Stark Raving Mad ,2002,"Daywalt, D. & Schneider, ",USA ,3.2
They ,2002,"Harmon, Robert ",USA ,3.2
Terminator 3: The Rise of the Machines ,2003,"Mostow, Jonathan ",,3.2
"Yours, Mine and Ours ",2005,"Gosnell, Raja ",USA ,3.2
"Mighty Heart, A ",2007,"Winterbottom, Michael ",,3.2
Felon ,2008,"Waugh, Ric Roman ",USA ,3.2
Detective Dee: Mystery of the Phantom Flame ,2010,Tsui Hark ,CHI ,3.2
Predators ,2010,Antal Nimrod ,USA ,3.2
"Social Network, The ",2010,"Fincher, David ",USA ,3.2
Res State ,2011,"Smith, Kevin ",USA ,3.2
"Borrowers, The ",1997,"Hewitt, Peter ",BRI ,3.21
Swept Away ,2002,"Ritchie, Guy ",,3.21
Barber Shop 2: Back in Business ,2004,"Sullivan, Kevin Rodney ",USA ,3.21
Connie and Carla ,2004,"Lembeck, Michael ",USA ,3.21
Garfield ,2004,"Hewitt, Peter ",USA ,3.21
Balls of Fury ,2007,"Garant, Robert Ben ",USA ,3.21
She's Out of My League ,2008,"Smith, Jim Field ",USA ,3.21
Whiteout ,2009,"Senna, Dominic ",,3.21
Diary of a Wimpy Kid ,2010,"Freudenthal, Thor ",USA ,3.21
Roadkill ,2001,"Dahl, John ",USA ,3.22
Scorcher ,2002,"Seale, James ",,3.22
Mean Girls ,2004,"Waters, Mark S. ",USA ,3.22
Accepted ,2006,"Pink, Steve ",USA ,3.22
